device_id,study_id,property_name,value,unit,value_type,source_title,doi,page,figure_or_table,source_note
TiOx_02_Au,10.1038/s41598-019-44607-3,on_off_ratio,1.705978,ROFF/RON,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2a,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2a, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. ON/OFF ratio = ROFF/RON."
TiOx_02_Au,10.1038/s41598-019-44607-3,read_voltage,0.1,V,ASSUMED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6-7,Figure 2; Discussion,"+0.10 V is a project-selected analysis/read point inside the paper's stated |V|<0.5 V non-switching regime. The paper explicitly notes that read-out resistance depends on read voltage. This value is therefore an assumption, not a directly reported standard read voltage."
TiOx_02_Au,10.1038/s41598-019-44607-3,analysis_temperature,300.0,K,ASSUMED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2a,300 K is one experimentally measured temperature in the source dataset and is selected here as the common operating-point temperature for the three device variants.
TiOx_02_Au,10.1038/s41598-019-44607-3,raw_dataset_doi,10.5258/SOTON/D0930,,REPORTED,Data for An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.5258/SOTON/D0930,Data repository,Fig.2a,Open raw dataset used for the 300 K operating-point derivation.
TiOx_02_Ni,10.1038/s41598-019-44607-3,ron_ohm,6034.99,ohm,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2b,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2b, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. RON is the lower of the two derived branch resistances."
TiOx_02_Ni,10.1038/s41598-019-44607-3,roff_ohm,6682.12,ohm,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2b,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2b, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. ROFF is the higher of the two derived branch resistances."
TiOx_02_Ni,10.1038/s41598-019-44607-3,on_off_ratio,1.10723,ROFF/RON,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2b,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2b, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. ON/OFF ratio = ROFF/RON."
TiOx_02_Ni,10.1038/s41598-019-44607-3,read_voltage,0.1,V,ASSUMED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6-7,Figure 2; Discussion,"+0.10 V is a project-selected analysis/read point inside the paper's stated |V|<0.5 V non-switching regime. The paper explicitly notes that read-out resistance depends on read voltage. This value is therefore an assumption, not a directly reported standard read voltage."
TiOx_02_Ni,10.1038/s41598-019-44607-3,analysis_temperature,300.0,K,ASSUMED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2b,300 K is one experimentally measured temperature in the source dataset and is selected here as the common operating-point temperature for the three device variants.
TiOx_02_Ni,10.1038/s41598-019-44607-3,raw_dataset_doi,10.5258/SOTON/D0930,,REPORTED,Data for An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.5258/SOTON/D0930,Data repository,Fig.2b,Open raw dataset used for the 300 K operating-point derivation.
TiOx_02_Pt,10.1038/s41598-019-44607-3,ron_ohm,5368.34,ohm,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2c,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2c, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. RON is the lower of the two derived branch resistances."
TiOx_02_Pt,10.1038/s41598-019-44607-3,roff_ohm,11427.5,ohm,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2c,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2c, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. ROFF is the higher of the two derived branch resistances."
TiOx_02_Pt,10.1038/s41598-019-44607-3,on_off_ratio,2.128684,ROFF/RON,DERIVED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2c,"Derived from openly available raw dataset DOI 10.5258/SOTON/D0930, sheet Fig.2c, 300 K. Two positive-bias non-switching branches were linearly interpolated to +0.10 V. Detailed calculation is stored in data/tiox02_derived_operating_points.csv. ON/OFF ratio = ROFF/RON."
TiOx_02_Pt,10.1038/s41598-019-44607-3,read_voltage,0.1,V,ASSUMED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6-7,Figure 2; Discussion,"+0.10 V is a project-selected analysis/read point inside the paper's stated |V|<0.5 V non-switching regime. The paper explicitly notes that read-out resistance depends on read voltage. This value is therefore an assumption, not a directly reported standard read voltage."
TiOx_02_Pt,10.1038/s41598-019-44607-3,analysis_temperature,300.0,K,ASSUMED,An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.1038/s41598-019-44607-3,6,Figure 2 / raw sheet Fig.2c,300 K is one experimentally measured temperature in the source dataset and is selected here as the common operating-point temperature for the three device variants.
TiOx_02_Pt,10.1038/s41598-019-44607-3,raw_dataset_doi,10.5258/SOTON/D0930,,REPORTED,Data for An electrical characterisation methodology for identifying the switching mechanism in TiO2 memristive stacks,10.5258/SOTON/D0930,Data repository,Fig.2c,Open raw dataset used for the 300 K operating-point derivation.
HfOx_01,10.1109/TNANO.2024.3485213,ron_ohm,55.7,ohm,DERIVED,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,763,Figure 9(a),"Approximate RON derived from the experimental LRS mean-current dashed line in Figure 9 at -0.2 V. Visual mean estimate ~3.59 mA; R=|V|/|I|. This is figure-derived, not a directly tabulated resistance."
HfOx_01,10.1109/TNANO.2024.3485213,roff_ohm,2530.0,ohm,DERIVED,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,763,Figure 9(b),"Approximate ROFF derived from the experimental HRS mean-current dashed line in Figure 9 at -0.2 V. Visual mean estimate ~0.079 mA; R=|V|/|I|. This is figure-derived, not a directly tabulated resistance."
HfOx_01,10.1109/TNANO.2024.3485213,on_off_ratio,45.4,ROFF/RON,DERIVED,Modeling and Simulation of Correlated Cycle-to-Cycle Variability in the Current-Voltage Hysteresis Loops of RRAM Devices,10.1109/TNANO.2024.3485213,763,Figure 9,Approximate ON/OFF resistance ratio derived as ROFF/RON from the Figure-9 mean-current estimates. This value is approximate.
HfOx_01,10.1016/j.mee.2017.11.007,conductance_mode,GRADUAL_MULTILEVEL,,EXPERIMENTAL,Investigation of the multilevel capability of TiN/Ti/HfO2/W resistive switching devices by sweep and pulse programming,10.1016/j.mee.2017.11.007,148-153,Multilevel sweep/pulse experiments,"Supporting same-stack TiN/Ti/HfO2/W experimental study reports clearly distinguishable multilevel states and continuous dependence of filamentary conductance on programming conditions. Used only to support the simulator behavior classification, not to replace the primary 2024 electrical operating-point data."
HfZrOx_01,10.1002/pssr.202000524,device_stack,TiN/HfZrO4/TiOx/TiN,,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1,Device fabrication / Figure 1,TiN(10 nm)/HfZrO4(4.5 nm)/TiOx(3.5 nm)/TiN(20 nm) asymmetric stack is reported.
HfZrOx_01,10.1002/pssr.202000524,active_material,HfZrO4/TiOx,,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1,Device fabrication,Ferroelectric HfZrO4 is combined with a semiconducting TiOx interlayer.
HfZrOx_01,10.1002/pssr.202000524,hzo_thickness_nm,4.5,nm,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1,Device fabrication,Reported HfZrO4 thickness.
HfZrOx_01,10.1002/pssr.202000524,tiox_thickness_nm,3.5,nm,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1,Device fabrication,Reported TiOx interlayer thickness.
HfZrOx_01,10.1002/pssr.202000524,read_voltage,0.1,V,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1,Figure 1 / write-read experiment,Resistance is measured approximately ten seconds after programming using a 100 mV non-destructive read voltage.
HfZrOx_01,10.1002/pssr.202000524,on_off_ratio,2.0,HRS/LRS resistance ratio,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,2,Figure 1 / wake-up discussion,"After ferroelectric wake-up, the study reports that the ON/OFF ratio increases from 1.3 to 2.0. The profile uses the post-wake-up value 2.0."
HfZrOx_01,10.1002/pssr.202000524,conductance_mode,ANALOG,,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1-2,Figure 1,"The device is explicitly described as an analog resistive memory. Resistance changes gradually during RESET and SET, and intermediate states are experimentally observed."
HfZrOx_01,10.1002/pssr.202000524,conductance_states,,,NOT_REPORTED,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1-2,Figure 1 / mechanism discussion,"Intermediate states are reached by partial ferroelectric-domain switching, but no fixed physical conductance-state count is reported."
HfZrOx_01,10.1002/pssr.202000524,switching_mechanism,FERROELECTRIC_POLARIZATION_WITH_OXYGEN_VACANCY_REDISTRIBUTION,,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,2,Figure 3 / mechanism discussion,"Resistive switching is linked to ferroelectric polarization; wake-up behavior is explained with redistribution of oxygen vacancies, and partial domain switching produces intermediate states."
HfZrOx_01,10.1002/pssr.202000524,wake_up_cycles,1E5,cycles,EXPERIMENTAL,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,2,Figure 2,The reported wake-up comparison includes the device after 1E5 cycles.
HfZrOx_01,10.1002/pssr.202000524,drift,,,NOT_REPORTED,"Ferroelectric, Analog Resistive Switching in Back-End-of-Line Compatible TiN/HfZrO4/TiOx Junctions",10.1002/pssr.202000524,1,Figure 1 discussion,"The study qualitatively reports cycle-to-cycle LRS drift of a few tens of kOhms and a longer-term resistance increase of about 0.5 GOhm after six days, but these are not collapsed into the project's current single drift scalar because the schema does not encode the required time/condition context."
TiOx_04,10.1007/s42835-019-00107-y,active_material,TiOx/TiOy,,EXPERIMENTAL,Mimicking Synaptic Behaviors with Cross-Point Structured TiOx/TiOy-Based Filamentary RRAM for Neuromorphic Applications,10.1007/s42835-019-00107-y,869-875,Abstract / device description,Primary journal article reports a TiOx/TiOy bilayer insulator in a cross-point filamentary RRAM.
TiOx_04,10.23186/korea.000000081642.11009.0000815,device_stack,Au/TiOx/TiOy/Au,,EXPERIMENTAL,Experimental study of TiOx/TiOy based filamentary RRAM as synaptic device for neuromorphic systems,10.23186/korea.000000081642.11009.0000815,Abstract; experimental section starts p.36,Device structure / fabrication,Related thesis for the same experimental platform states that Au thin films are used as both top and bottom electrodes with a TiOx/TiOy bilayer switching structure. The profile encodes the core Au/TiOx/TiOy/Au stack and does not add a more specific auxiliary Ti-layer position without unambiguous source text.
TiOx_04,10.23186/korea.000000081642.11009.0000815,device_area,20 x 20,um^2,EXPERIMENTAL,Experimental study of TiOx/TiOy based filamentary RRAM as synaptic device for neuromorphic systems,10.23186/korea.000000081642.11009.0000815,Abstract,Device description,Reported cross-point active area.
TiOx_04,10.1007/s42835-019-00107-y,forming_voltage,5.62,V,EXPERIMENTAL,Mimicking Synaptic Behaviors with Cross-Point Structured TiOx/TiOy-Based Filamentary RRAM for Neuromorphic Applications,10.1007/s42835-019-00107-y,869-875,Abstract / I-V characterization,Journal article reports electroforming at approximately 5.62 V.
TiOx_04,10.1007/s42835-019-00107-y,read_voltage,0.2,V,EXPERIMENTAL,Mimicking Synaptic Behaviors with Cross-Point Structured TiOx/TiOy-Based Filamentary RRAM for Neuromorphic Applications,10.1007/s42835-019-00107-y,869-875,Abstract / DC sweep characterization,The reported ON/OFF ratio is evaluated at 0.2 V.
TiOx_04,10.1007/s42835-019-00107-y,on_off_ratio,76.0,ratio,EXPERIMENTAL,Mimicking Synaptic Behaviors with Cross-Point Structured TiOx/TiOy-Based Filamentary RRAM for Neuromorphic Applications,10.1007/s42835-019-00107-y,869-875,Abstract / DC sweep characterization,Journal article reports ON/OFF approximately 76 at 0.2 V after electroforming.
TiOx_04,10.23186/korea.000000081642.11009.0000815,switching_mechanism,FILAMENTARY_OXYGEN_REDox,,EXPERIMENTAL,Experimental study of TiOx/TiOy based filamentary RRAM as synaptic device for neuromorphic systems,10.23186/korea.000000081642.11009.0000815,Abstract,Mechanism description,Conductance evolution is attributed to conductive-filament formation together with oxygen-driven redox reactions in the TiOx/TiOy bilayer.
TiOx_04,10.1007/s42835-019-00107-y,conductance_mode,GRADUAL_MULTILEVEL,,EXPERIMENTAL,Mimicking Synaptic Behaviors with Cross-Point Structured TiOx/TiOy-Based Filamentary RRAM for Neuromorphic Applications,10.1007/s42835-019-00107-y,869-875,LTP/LTD pulse experiments,The journal article reports LTP/LTD using repeated pulses and further uses 25 linearly varied pulses so conductance changes linearly. This supports gradual multilevel mapping.
TiOx_04,10.23186/korea.000000081642.11009.0000815,demonstrated_protocol_states,50,conductance values,EXPERIMENTAL,Experimental study of TiOx/TiOy based filamentary RRAM as synaptic device for neuromorphic systems,10.23186/korea.000000081642.11009.0000815,Abstract; LTP/LTD section starts p.56,50-pulse LTP/LTD experiment,The related thesis reports 50 different conductance values for LTP/LTD under 50 identical pulses. This is retained as protocol evidence only and is not used as an intrinsic physical state-count cap.
TiOx_04,10.23186/korea.000000081642.11009.0000815,conductance_states,,,NOT_REPORTED,Experimental study of TiOx/TiOy based filamentary RRAM as synaptic device for neuromorphic systems,10.23186/korea.000000081642.11009.0000815,Abstract,Multi-level / LTP-LTD discussion,No fixed intrinsic maximum number of physical conductance states is established. The reported 50 states are tied to a 50-pulse experimental protocol.
TiOx_04,10.1007/s42835-019-00107-y,stpd_conductance_change,-77.79 to 96.07,%,EXPERIMENTAL,Mimicking Synaptic Behaviors with Cross-Point Structured TiOx/TiOy-Based Filamentary RRAM for Neuromorphic Applications,10.1007/s42835-019-00107-y,869-875,STDP experiment,Reported STDP conductance change range using a time-division multiplexing approach.
